Song Name,Artist,Genre
Hello - Edited Version,"Stafford Brothers, Lil Wayne, Christina Milian","australian dance,hip hop,new orleans rap,pop rap,rap,trap,dance pop,hip pop,post-teen pop,r&b,urban contemporary"
"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992","Mariah Carey, Trey Lorenz","dance pop,pop,urban contemporary,contemporary r&b"
working,"Tate McRae, Khalid","alt z,pop,pop,pop r&b"
Love Me Like You,Little Mix,"girl group,pop,talent show,uk pop"
death bed (coffee for your head),"Powfu, beabadoobee","sad lo-fi,sad rap,bedroom pop,bubblegrunge,indie pop,pov: indie"
Borrow My Heart,Taylor Henderson,"australian pop,australian talent show"
Always,Samantha Jade,"australian pop,australian talent show"
Nasty Girl - Main,Nitty,bronx hip hop
Always On Time,"Ja Rule, Ashanti","dance pop,east coast hip hop,gangster rap,hip hop,hip pop,pop rap,queens hip hop,rap,urban contemporary,dance pop,hip pop,r&b,urban contemporary"
Cream - Without Rap Monologue,Prince,"funk,funk rock,minneapolis sound,rock,synth funk"
Love Action (I Believe In Love),The Human League,"new romantic,new wave,new wave pop,permanent wave,sophisti-pop,synthpop"
Never Gonna Fall in Love Again - Live,Mark Holden,
You Should Hear How She Talks About You,Melissa Manchester,"soft rock,yacht rock"
(Everything I Do) I Do It For You,Bryan Adams,"canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock"
I've Gotta Get A Message To You,Bee Gees,"disco,mellow gold,soft rock"
I Wish I Was a Punk Rocker (with Flowers in My Hair),Sandi Thom,"candy pop,scottish singer-songwriter"
Heart of Gold - 2017 Remaster,Neil Young,"canadian singer-songwriter,classic canadian rock,classic rock,folk rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter"
Shake Ya Tailfeather - Radio,"Murphy Lee, Nelly, Diddy","dirty south rap,st louis rap,dance pop,gangster rap,hip hop,pop rap,rap,st louis rap,urban contemporary,dance pop,east coast hip hop,hip hop,hip pop,pop rap,rap"
Come Home with Me,Guy Sebastian,"australian pop,australian talent show"
Drop the Boy,Bros,"new romantic,new wave pop"
See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth","hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap,pop,viral pop"
Now That We Found Love,"Heavy D & The Boyz, Aaron Hall","contemporary r&b,east coast hip hop,new jack swing,old school hip hop,contemporary r&b,new jack swing,r&b"
Call Out My Name,The Weeknd,"canadian contemporary r&b,canadian pop,pop"
Love Letters,Billy Thorpe & The Aztecs,australian rock
Respect,Aretha Franklin,"classic soul,jazz blues,memphis soul,neo soul,soul,southern soul,vocal jazz"
"Doin' The Do - 7"" Radio Mix",Betty Boo,hip house
Sweet Caroline,Neil Diamond,"adult standards,brill building pop,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock,yacht rock"
Call Me,Blondie,"candy pop,new wave pop,permanent wave,power pop,rock,synthpop"
Don't Take It Personal (Just One of Dem Days),Monica,"contemporary r&b,hip pop,r&b,urban contemporary"
48 Crash,Suzi Quatro,glam rock
My Hero,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
50 Ways to Say Goodbye,Train,"dance pop,neo mellow,pop,pop rock"
Counting Stars,OneRepublic,"piano rock,pop"
House of the Rising Sun,Frijid Pink,"british blues,detroit rock,proto-metal,psychedelic blues-rock,psychedelic rock"
Do It Again,The Chemical Brothers,"alternative dance,big beat,breakbeat,electronica,rave,trip hop"
Together We Are Beautiful,Fern Kinney,
Keep It Comin' Love,KC & The Sunshine Band,"disco,mellow gold,new wave pop,soft rock,soul"
Stay Awhile,The Bells,classic canadian rock
Me Myself & I,Scandal'us,australian pop
Be the One,Dua Lipa,"dance pop,pop,uk pop"
Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin","edm,pop dance,progressive electro house,pop edm"
Private Idaho,The B-52's,"album rock,classic rock,dance rock,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,zolo"
I Never Told You,Colbie Caillat,"dance pop,neo mellow,pop"
Saving All My Love For You,Dami Im,"australian pop,australian talent show,talent show"
BLOW (with Chris Stapleton & Bruno Mars),"Ed Sheeran, Chris Stapleton, Bruno Mars","pop,singer-songwriter pop,uk pop,contemporary country,outlaw country,dance pop,pop"
Wonderful,"Ja Rule, R. Kelly, Ashanti","dance pop,east coast hip hop,gangster rap,hip hop,hip pop,pop rap,queens hip hop,rap,urban contemporary,dance pop,hip pop,r&b,urban contemporary"
Up/Down,Jessica Mauboy,"australian indigenous,australian pop,australian talent show"
More Than This,Roxy Music,"art rock,glam rock,melancholia,new romantic,new wave,new wave pop,sophisti-pop"
Every Time I Close My Eyes (with Kenny G),"Babyface, Kenny G","contemporary r&b,r&b,urban contemporary,smooth jazz,smooth saxophone"
"Uptown Festival - 7"" Version",Shalamar,"disco,funk,motown,new jack swing,post-disco,quiet storm,soul,urban contemporary"
Free,Ultra Naté,"diva house,garage house,vocal house"
Have You Ever Really Loved A Woman?,Bryan Adams,"canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock"
Problem,"Ariana Grande, Iggy Azalea","pop,australian hip hop,dance pop,pop"
No More Lonely Nights (Ballad),Paul McCartney,"beatlesque,classic rock,mellow gold,rock"
Scars,Papa Roach,"alternative metal,nu metal,rap metal,rap rock,rock"
One Track Mind,Bobby Lewis,"doo-wop,rhythm and blues"
Cheap Wine - 2011 Remastered,Cold Chisel,australian rock
I'm Every Woman,Whitney Houston,dance pop
"Because I Got High - From ""Jay And Silent Bob Strike Back"" Soundtrack",Afroman,comedy rap
Love is a Beautiful Song,Dave Mills,
You Belong To Me - JX Mix,JX,
Blister in the Sun - 2002 Remastered Version,Violent Femmes,"acoustic punk,alternative rock,punk"
The Reaper,"The Chainsmokers, Amy Shark","electropop,pop,australian pop"
Follow The Sun,Evermore,"australian alternative rock,australian rock,kiwi rock"
Ain't No Love (Ain't No Use) [feat. Melanie Williams],"Sub Sub, Melanie Williams","madchester,diva house"
Runaway Train (2022 Remaster),Soul Asylum,"alternative rock,grunge,permanent wave,pop rock,post-grunge"
All I Want,Sarah Blasko,"australian alternative rock,australian indie,australian singer-songwriter"
How Would You Feel (Paean),Ed Sheeran,"pop,singer-songwriter pop,uk pop"
Greatest Hits Megamix - Jewels & Stone Remix,"Five, Queen, Steve Mac, Stargate, Cutfather & Joe","boy band,classic rock,glam rock,rock,norwegian pop"
This Is How We Do It,Montell Jordan,"contemporary r&b,new jack swing,r&b,urban contemporary"
Mr. Bojangles - Remastered 2001,Nitty Gritty Dirt Band,"country rock,heartland rock"
San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie,
I Forgot That You Existed,Taylor Swift,pop
Versace on the Floor (Bruno Mars vs. David Guetta),"Bruno Mars, David Guetta","dance pop,pop,big room,dance pop,edm,pop,pop dance"
Breakout,Swing Out Sister,"new wave pop,sophisti-pop"
Firestone,"Kygo, Conrad Sewell","edm,pop,pop dance,tropical house,australian pop"
Til Death - Denzal Park Radio Edit,Wynter Gordon,
The Time Warp,"Richard O'Brien, Patricia Quinn, Nell Campbell",
Scream,"Michael Jackson, Janet Jackson","r&b,soul,dance pop,r&b,urban contemporary"
AFTERGLOW,Taxiride,"australian pop,australian rock"
I Dig Rock and Roll Music - 2004 Remaster,"Peter\, Paul and Mary","american folk revival,folk,folk rock,mellow gold,singer-songwriter,soft rock"
Makes Me Wonder,Maroon 5,pop
Thunder,Imagine Dragons,"modern rock,pop,rock"
Same Old Love,Selena Gomez,"pop,post-teen pop"
(You Drive Me) Crazy,Britney Spears,"dance pop,pop"
Free Loop,Daniel Powter,"canadian pop,neo mellow,pop rock"
Two Strong Hearts,John Farnham,"australian pop,australian rock"
Levels,Nick Jonas,"dance pop,pop"
When You Believe - from The Prince of Egypt,"Whitney Houston, Mariah Carey","dance pop,dance pop,pop,urban contemporary"
Never Be The Same Again - Single Mix,"Melanie C, Lisa ""Left Eye"" Lopes","dance pop,europop,talent show,hip pop"
Stole,Kelly Rowland,"atl hip hop,dance pop,hip pop,r&b,urban contemporary"
Before the Worst,The Script,"celtic rock,pop"
"That Sunday, That Summer",Nat King Cole,"adult standards,lounge,soul,swing,vocal jazz"
Burn Your Name,Powderfinger,"australian alternative rock,australian rock"
Welcome To My World,Mýa,"contemporary r&b,hip pop,r&b,urban contemporary"
fOoL fOr YoU,ZAYN,"pop,uk pop"
Lady Godiva - Mono; 2003 Remaster,Peter And Gordon,"beatlesque,british blues,british invasion"
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake","dance pop,edm,electro house,moombahton,pop,pop dance,danish pop,electropop,pop,pop dance,edm,electronic trap,pop,pop dance"
You Found Me,The Fray,"neo mellow,piano rock,pop,pop rock"
Higher Ground,Stevie Wonder,"motown,soul"
I Wanna Be the Only One (feat. Bebe Winans),"Eternal, Bebe Winans","europop,girl group,new wave pop,gospel"
Rev It Up,Jerry Harrison,rock keyboard
Doggin' Around,Jackie Wilson,"chicago soul,classic soul,rock-and-roll,soul"
New Rules,Dua Lipa,"dance pop,pop,uk pop"
It's Now or Never,Elvis Presley,"rock-and-roll,rockabilly"
Boys & Girls,"Martin Solveig, Dragonette","disco house,edm,electro house,filter house,house,pop dance,vocal house,canadian electropop,canadian pop,dance rock,electropop,metropopolis,neo-synthpop"
Flowers,Miley Cyrus,pop
Take Me,RÜFÜS DU SOL,"australian electropop,indietronica"
We Can't Stop,Miley Cyrus,pop
THATS WHAT I WANT,Lil Nas X,lgbtq+ hip hop
