Song Name,Artist,Genre
Home,Michael Bublé,"adult standards,canadian pop,jazz pop,lounge"
A Thousand Years (Glee Cast Version),Glee Cast,"glee club,post-teen pop"
He's Gonna Step on You Again,The Party Boys,australian rock
Inside Outside,Sophie Monk,australian pop
Macho Man,Village People,"disco,new wave pop,soft rock"
Bad Blood,Neil Sedaka,"adult standards,brill building pop,bubblegum pop,easy listening,rockabilly,soft rock"
"Another Brick in the Wall, Pt. 2",Pink Floyd,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock"
What About Us,P!nk,"dance pop,pop"
I Got It From My Mama,will.i.am,"dance pop,pop"
I Love The Nightlife (Disco 'Round),Alicia Bridges,disco
Amnesia,5 Seconds of Summer,"boy band,pop"
Livin' On A Prayer,Bon Jovi,"glam metal,rock"
Wild Horses,Gino Vannelli,"classic canadian rock,soft rock,yacht rock"
Maggie May,Rod Stewart,"mellow gold,soft rock"
Are You Sure,Willie Nelson,"classic country pop,classic texas country,country,country rock,nashville sound,outlaw country,singer-songwriter"
Endless Road,Time Bandits,nederpop
As Tears Go By - Mono Version,The Rolling Stones,"album rock,british invasion,classic rock,rock"
Escape (The Pina Colada Song),Rupert Holmes,yacht rock
Two Faces Have I,Ol' 55,australian rock
My First Kiss (feat. Ke$ha),"3OH!3, Kesha","electropowerpop,pop punk,pop rap,post-teen pop,dance pop,pop"
Two Strong Hearts,John Farnham,"australian pop,australian rock"
My Happy Ending,Avril Lavigne,"canadian pop,candy pop,pop"
Love Again,Dua Lipa,"dance pop,pop,uk pop"
Learning To Fly - 2011 Remastered Version,Pink Floyd,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock"
Where Is The Love?,Black Eyed Peas,"dance pop,pop,pop rap"
Fast Car - Acoustic,"Jonas Blue, Dakota","pop,pop dance,tropical house,uk dance"
Circus - Remastered,Britney Spears,"dance pop,pop"
All Torn Down,The Living End,"australian alternative rock,australian rock,australian ska"
I Need to Be In Love,Dami Im,"australian pop,australian talent show,talent show"
Please Stay - Single Version,The Drifters,"adult standards,doo-wop,rock-and-roll,rockabilly,soul"
Rubberneckin' - Paul Oakenfold Remix / Radio Edit,Elvis Presley,"rock-and-roll,rockabilly"
Don't Stop Me Now - Remastered 2011,Queen,"classic rock,glam rock,rock"
Too Much,The Easybeats,"australian rock,british blues,freakbeat,protopunk,psychedelic rock"
Jai Ho! (You Are My Destiny),"A.R. Rahman, The Pussycat Dolls, Nicole Scherzinger","filmi,dance pop,girl group,pop,dance pop,pop"
Vincent,Don McLean,"classic rock,folk,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock"
Out Of My Head,Fastball,"pop rock,post-grunge"
Only You,Yazoo,"new romantic,new wave,new wave pop,synthpop"
The Only Way Is Up,Yazz,"new romantic,new wave pop,synthpop"
Hello,Adele,"british soul,pop,pop soul,uk pop"
Love of the Common People,Paul Young,"mellow gold,new romantic,new wave,new wave pop,soft rock"
Please Don't Leave Me,P!nk,"dance pop,pop"
All Cried Out,Allure,contemporary r&b
In My Blood,Shawn Mendes,"canadian pop,pop,viral pop"
I’m Still Hot - Original,Luciana,dance pop
Young Blood,The Naked And Famous,"auckland indie,indietronica,kiwi rock,metropopolis"
Loose Ends (feat. G Flip),"Illy, G Flip","australian hip hop,australian trap,australian alternative pop,australian pop"
Wolfsbane,"Love Ghost, Rico Nasty","alternative r&b,trap queen"
Don't Hold Back,The Potbelleez,"aussietronica,australian dance,australian house,australian pop"
Let's Spend The Night Together,The Rolling Stones,"album rock,british invasion,classic rock,rock"
Will You Love Me Tomorrow,The Shirelles,"classic girl group,doo-wop,motown,rock-and-roll,soul"
The Fighter,"Keith Urban, Carrie Underwood","australian country,australian pop,contemporary country,country,country road,classic oklahoma country,contemporary country,country,country dawn,country road,dance pop"
Lady - Hear Me Tonight,Modjo,"disco house,filter house"
Solitaire,Laura Branigan,"new romantic,new wave pop,soft rock,synthpop"
Grace Kelly,MIKA,pop rock
Let The Music Play,Shannon,"freestyle,hi-nrg,minneapolis sound,post-disco"
My First Kiss (feat. Ke$ha),"3OH!3, Kesha","electropowerpop,pop punk,pop rap,post-teen pop,dance pop,pop"
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,"glam rock,mellow gold,piano rock,rock"
Lover,Taylor Swift,pop
Cuz I Love You,Lizzo,"escape room,minnesota hip hop,pop,trap queen"
SummerThing!,"AFROJACK, Mike Taylor","big room,dance pop,dutch house,edm,electro house,pop dance,progressive electro house"
Sweet Disposition,The Temper Trap,"indietronica,modern rock"
Numb Little Bug,Em Beihold,"alt z,gen z singer-songwriter"
Funky Junky - Rap,Peter Andre,"europop,talent show"
Step Back In Time,Kylie Minogue,"australian dance,australian pop,dance pop,eurodance,new wave pop"
New York,Ed Sheeran,"pop,singer-songwriter pop,uk pop"
Emancipate Myself,Thirsty Merc,"australian pop,australian rock"
I Don't Think So,Kelis,"dance pop,hip pop,neo soul,urban contemporary"
Coming Home,"Diddy - Dirty Money, Skylar Grey","pop rap,piano rock,viral pop"
Hurricane,Bob Dylan,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter"
Here Comes the Rain Again - Remastered Version,"Eurythmics, Annie Lennox, Dave Stewart","dance rock,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop,new romantic,new wave,new wave pop,singer-songwriter,soft rock,synthpop,new wave pop,rock keyboard"
Scandalous - U.S. Radio Edit,Mis-Teeq,"girl group,uk garage"
Rock 'N' Roll Is King,Electric Light Orchestra,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock"
The Mountain's High,Dick & Dee Dee,"doo-wop,rhythm and blues"
Heartbreak Anniversary,Giveon,r&b
Small Bump,Ed Sheeran,"pop,singer-songwriter pop,uk pop"
These New Knights,Ou Est Le Swimming Pool,"australian dance,neo-synthpop"
Georgy Girl,The Seekers,british invasion
On Top Of The World,Imagine Dragons,"modern rock,pop,rock"
And We Danced,The Hooters,philly indie
Green Tambourine,The Lemon Pipers,"bubblegum pop,classic garage rock,merseybeat,psychedelic rock"
International Love (feat. Chris Brown),"Pitbull, Chris Brown","dance pop,miami hip hop,pop,r&b,rap"
(I Can't Help) Falling In Love With You,UB40,"reggae fusion,uk reggae"
Feel the Love (feat. John Newman),"Rudimental, John Newman","pop dance,uk dance,uk funky,dance pop"
Purple Hat,Sofi Tukker,edm
Shake That (feat. Pitbull),"Samantha Jade, Pitbull","australian pop,australian talent show,dance pop,miami hip hop,pop"
Not Pretty Enough,Kasey Chambers,"australian americana,australian country,australian rock"
Glitter,BENEE,"alt z,nz pop"
The Cheater,Bob Kuban & The In-Men,
Firestarter,Samantha Jade,"australian pop,australian talent show"
Have A Little Faith In Me,John Hiatt,"country rock,folk,heartland rock,roots rock,singer-songwriter"
Party Girl,StaySolidRocky,melodic rap
Too Good,"Drake, Rihanna","canadian hip hop,canadian pop,hip hop,rap,toronto rap,barbadian pop,pop,urban contemporary"
This Fire,Franz Ferdinand,"alternative rock,dance rock,indie rock,modern rock,rock,scottish rock"
Praying,Kesha,"dance pop,pop"
Blue Eyes,Cary Brothers,"acoustic pop,la indie"
Calling Occupants Of Interplanetary Craft (The Recognized Anthem Of World Contact Day),Carpenters,"adult standards,mellow gold,soft rock"
Touch,Shift K3Y,"house,uk dance"
Born This Way,Lady Gaga,"art pop,dance pop,pop"
Hello Me,Vanessa Amorosi,"australian dance,australian pop,australian rock"
"Money, Money, Money",ABBA,"europop,swedish pop"
Berzerk,Eminem,"detroit hip hop,hip hop,rap"
Drop The Pilot,Joan Armatrading,"folk,singer-songwriter"
Complicated,Avril Lavigne,"canadian pop,candy pop,pop"
I'm Gonna Be Alright (feat. Nas),"Jennifer Lopez, Nas, Cory Rooney, Poke and Tone","dance pop,pop,urban contemporary,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap"
Kings & Queens,Ava Max,pop
Something In The Air,Thunderclap Newman,classic uk pop
The Power Of Love,Frankie Goes To Hollywood,"dance rock,hi-nrg,new romantic,new wave,new wave pop,synthpop"
In the Chapel in the Moonlight,Dean Martin,"adult standards,easy listening,lounge,vocal jazz"
Uh La La La,Alexia,"classic greek pop,eurodance,italo dance"
Big Time Operator,"Jeff St John, The ID",hammond organ
Don't Give Up,"Chicane, Bryan Adams","trance,canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock"
Do You Want Me,Salt-N-Pepa,"girl group,golden age hip hop,hip hop,hip pop,old school hip hop,queens hip hop"
Ain't Nobody,Jaki Graham,post-disco
Surrender,Elvis Presley,"rock-and-roll,rockabilly"
Rock and Roll Dreams Come Through,Jim Steinman,german show tunes
You Got Me,Gavin DeGraw,"neo mellow,pop rock"
Get Over You,Sophie Ellis-Bextor,"dance pop,europop,new wave pop"
Dawn (Go Away),Frankie Valli & The Four Seasons,"adult standards,bubblegum pop,doo-wop,lounge,northern soul,rock-and-roll,rockabilly"
Superstar,Jamelia,"europop,talent show"
When We Were Young,Adele,"british soul,pop,pop soul,uk pop"
Those Oldies But Goodies,Little Cesar & The Romans,
I'm Your Man,Wham!,"new romantic,new wave,new wave pop,soft rock"
Snoopy Vs. The Red Baron,The Royal Guardsmen,bubblegum pop
Sorry Suzanne - 1998 Remaster,The Hollies,"album rock,british invasion,classic rock,folk rock,mellow gold,merseybeat,soft rock"
Duke of Earl,Gene Chandler,"chicago soul,classic soul,northern soul,southern soul"
Roar,Katy Perry,pop
To Her Door,Paul Kelly,"australian indigenous,australian rock"
We Belong,Pat Benatar,"album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,new romantic,new wave pop,rock,singer-songwriter,soft rock"
My Stupid Mouth,John Mayer,"neo mellow,singer-songwriter"
I Got You (I Feel Good),James Brown,"funk,soul"
Love You Goodbye,One Direction,"boy band,pop,post-teen pop,talent show"
Six Months in a Leaky Boat,Split Enz,"classic nz pop,kiwi rock,zolo"
Things We Lost In The Fire,Bastille,"metropopolis,modern rock,pop"
Unforgettable (Duet with Nat King Cole),Natalie Cole,"adult standards,disco,quiet storm,soul,vocal jazz"
The Way You Look Tonight,Frank Sinatra,"adult standards,easy listening,lounge"
Hide U,Kosheen,"electronica,trip hop"
I Miss You (feat. Julia Michaels),"Clean Bandit, Julia Michaels","pop,uk dance,uk funky,pop"
Planets,Short Stack,australian pop
"Beauty and the Beast - From ""Beauty and the Beast""","Ariana Grande, John Legend","pop,neo soul,pop,pop soul,urban contemporary"
The Reflex - Single Version; 2010 Remaster,Duran Duran,"album rock,dance rock,new romantic,new wave,new wave pop,rock,soft rock,synthpop"
You've Got The Love,Florence + The Machine,"baroque pop,modern rock,uk alternative pop"
Open Your Eyes,Snow Patrol,"irish rock,modern rock,neo mellow,permanent wave,pop rock"
The Power Of Love - Radio Edit,Céline Dion,canadian pop
Walk of Life,Dire Straits,"album rock,classic rock,mellow gold,rock"
Run Away,Real McCoy,"diva house,eurodance,german techno,hip house"
I Can't Wait,Nu Shooz,"freestyle,post-disco"
To the Door of the Sun,Al Martino,"adult standards,easy listening"
Oceans,Slip-On Stereo,australian indigenous
Total Eclipse of the Heart,Bonnie Tyler,"europop,new wave pop,soft rock"
Joyride - Single Version,Roxette,"europop,swedish pop,synthpop"
Pure Shores,All Saints,"dance pop,europop,girl group,new wave pop"
Hope,"Shaggy, Prince Mydas","dance pop,pop rap,reggae fusion"
Dessert,Dawin,nyc pop
Raise The Alarm,The Living End,"australian alternative rock,australian rock,australian ska"
Pretty Little Angel Eyes - Remastered,Curtis Lee,"doo-wop,rhythm and blues"
Does Your Mother Know,ABBA,"europop,swedish pop"
Too Bad,Nickelback,"alternative metal,canadian rock,post-grunge"
Paper Roses,Anita Bryant,deep adult standards
Break Your Heart,Taio Cruz,"dance pop,pop,pop rap"
Forever Yours - Avicii Tribute,"Kygo, Avicii, Sandro Cavazza","edm,pop,pop dance,tropical house,edm,pop,pop dance,swedish pop"
Down,"Jay Sean, Lil Wayne","dance pop,pop,pop rap,hip hop,new orleans rap,pop rap,rap,trap"
Let's Talk About Sex,Salt-N-Pepa,"girl group,golden age hip hop,hip hop,hip pop,old school hip hop,queens hip hop"
Let's Make It Last All Night,Jimmy Barnes,australian rock
Rhymes,Rockmelons,australian rock
Livin' la Vida Loca,Ricky Martin,"latin pop,mexican pop,puerto rican pop"
Beatnik Fly,"Johnny & The Hurricanes, Johnny Paris","doo-wop,rock-and-roll,rockabilly"
Hit and Run,Jo Jo Zep and The Falcons,australian rock
I've Never Been To Me,Charlene,
Step by Step,New Kids On The Block,boy band
Don't Turn Off The Lights,Enrique Iglesias,"dance pop,latin pop,mexican pop"
I Can Hear Music,The Beach Boys,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop"
I Get a Kick Out of You,Gary Shearston,bush ballad
What Would You Do? - Radio Edit,City High,
Believer,Imagine Dragons,"modern rock,pop,rock"
Born This Way,Lady Gaga,"art pop,dance pop,pop"
Fallin' in Love - Live,Rocky Burnette,
Past Life (with Selena Gomez),"Trevor Daniel, Selena Gomez","melodic rap,pop,post-teen pop"
Good Times Bad Times - 1993 Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
Tears and Rain,James Blunt,"neo mellow,pop rock"
Heaven,Bryan Adams,"canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock"
Shadow Boxer,The Angels,australian rock
T.N.T.,AC/DC,"australian rock,hard rock,rock"
You and Me,Alice Cooper,"album rock,classic rock,detroit rock,glam metal,glam rock,hard rock,metal,protopunk,rock"
Stairway to Heaven - 1990 Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
Jenny,The Click Five,"boy band,neon pop punk,pixie,pop punk"
UFO,Sneaky Sound System,"australian dance,australian house,funktronica"
Rip It Up,28 Days,"australian alternative rock,australian rock"
Nightmare (Sinister Strings Mix),Brainbug,italian trance
Cheek To Cheek,"Ella Fitzgerald, Louis Armstrong","adult standards,jazz,jazz blues,soul,swing,vocal jazz,adult standards,dixieland,harlem renaissance,jazz trumpet,new orleans jazz,soul,swing,vocal jazz"
Electric Feel,MGMT,"alternative rock,indie rock,indietronica,modern rock,rock"
"Fool, Fool, Fool",Ray Brown And The Whispers,
Brown Eyed Girl,Van Morrison,"classic rock,folk,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock"
At Last - Single Version,Etta James,"jazz blues,soul,soul blues,torch song,vocal jazz"
My House,Flo Rida,"dance pop,miami hip hop,pop,pop rap"
It's A Sin To Tell A Lie,Gerry Monroe,
The Best of My Love - 2013 Remaster,Eagles,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock"
The Greatest (feat. Kendrick Lamar),"Sia, Kendrick Lamar","australian dance,australian pop,pop,conscious hip hop,hip hop,rap,west coast rap"
The Real Slim Shady,Eminem,"detroit hip hop,hip hop,rap"
Operaa House!,Malcolm McLaren,
Her Royal Majesty,James Darren,
Face The Face,Pete Townshend,"album rock,art rock,blues rock,british blues,classic rock,country rock,folk rock,heartland rock,mellow gold,singer-songwriter"
Love$ick (feat. A$AP Rocky),"Mura Masa, A$AP Rocky","channel islands indie,hyperpop,indie soul,vapor soul,east coast hip hop,hip hop,rap,trap"
My Kind of Girl,Michael Bublé,"adult standards,canadian pop,jazz pop,lounge"
Little Red Rooster - Mono,The Rolling Stones,"album rock,british invasion,classic rock,rock"
Jump In The Pool,Friendly Fires,"alternative dance,dance rock,dance-punk,indietronica,neo-synthpop,new rave"
To Love Somebody,Bee Gees,"disco,mellow gold,soft rock"
Freefallin' (Radio Edit),Zoë Badwi,australian dance
Start Again (feat. Logic),"OneRepublic, Logic","piano rock,pop,conscious hip hop,hip hop,pop rap,rap"
Underwear Goes Inside The Pants,Lazyboy,collage pop
Scar,Missy Higgins,australian pop
Be My Lover,La Bouche,"diva house,eurodance,europop,german techno"
Faithfully,Journey,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,soft rock"
Loving You Is Killing Me,Aloe Blacc,"pop soul,r&b"
When I Get There,P!nk,"dance pop,pop"
Apologize,"Timbaland, OneRepublic","dance pop,pop,pop rap,piano rock,pop"
I Believe In You,Don Williams,"classic country pop,country"
Hard Rock Café,Carole King,"brill building pop,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock"
Shine Ya Light,Rita Ora,"dance pop,pop,uk pop"
Negative Things,Selwyn,
One of These Nights - 2013 Remaster,Eagles,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock"
Magic,Pilot,"classic uk pop,glam rock"
Don't It Make You Want To Go Home - Remastered 2002,Joe South,bubblegum pop
Over Drinking Over You,Busby Marou,australian indigenous
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song - Re-Recorded In Stereo,B.J. Thomas,"adult standards,bubblegum pop,classic country pop,folk rock,mellow gold,soft rock"
Frozen,"PON CHO, Paige IV",australian dance
What You Know,Two Door Cinema Club,"indie rock,indietronica,irish rock,modern alternative rock,modern rock,northern irish indie"
Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,"LMC, U2","bouncy house,uk dance,irish rock,permanent wave,rock"
34+35,Ariana Grande,pop
It's Raining Men,Geri Halliwell,"bubblegum dance,dance pop,europop,talent show"
Over Under Sideways Down - The Mono Album,The Yardbirds,"album rock,blues rock,british blues,british invasion,classic rock,country rock,folk rock,hard rock,psychedelic rock,rock,singer-songwriter"
Smile,Uncle Kracker,"country,pop rock,post-grunge"
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz","pop rap,seattle hip hop"
Reelin' In The Years,Steely Dan,"album rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock"
Mr. Natural,Bee Gees,"disco,mellow gold,soft rock"
To Die For,Sam Smith,"pop,uk pop"
American Idiot,Green Day,"modern rock,permanent wave,punk,rock"
Take My Breath - Single Version,The Weeknd,"canadian contemporary r&b,canadian pop,pop"
Sealed With A Kiss - Single Version,Brian Hyland,"bubblegum pop,doo-wop,merseybeat,rock-and-roll"
Afraid To Feel,LF SYSTEM,uk dance
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,"Asaf Avidan, The Mojos, Wankelmut","israeli pop,israeli rock,deep euro house"
9 to 5,Dolly Parton,"classic country pop,country,country dawn"
Every Woman In The World,Air Supply,soft rock
Steer,Missy Higgins,australian pop
Shake It Off,Taylor Swift,pop
This Kiss,Faith Hill,"contemporary country,country,country dawn,country road"
For What It's Worth,Liam Gallagher,"britpop,britpop revival,solo wave"
Waiting Game,Parson James,pop soul
Love Someone,Jason Mraz,"acoustic pop,dance pop,neo mellow,pop"
Snail,BENEE,"alt z,nz pop"
Love Is,Alannah Myles,classic canadian rock
Through the Wire (Radio Edit),"The Immigrant, Danny Ross",
Me & U,Cassie,"dance pop,hip pop,pop rap,r&b,urban contemporary"
Another Way to Die,"Jack White, Alicia Keys","alternative rock,blues rock,garage rock,garage rock revival,indie rock,modern blues rock,modern rock,punk blues,rock,neo soul,pop,r&b"
Mama Do The Hump,Rizzle Kicks,uk hip hop
Careless,Little Sea,
No One Knows,Queens of the Stone Age,"alternative metal,alternative rock,grunge,modern rock,nu metal,palm desert scene,rock,stoner metal,stoner rock"
Rocket,Def Leppard,"album rock,classic rock,glam metal,hard rock,nwobhm,rock"
(Such An) Easy Question,Elvis Presley,"rock-and-roll,rockabilly"
Bop Girl,Pat Wilson,
Gypsy Woman,Brian Hyland,"bubblegum pop,doo-wop,merseybeat,rock-and-roll"
Good Vibrations (Mono),The Beach Boys,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop"
Now We're Getting Somewhere,Crowded House,"australian rock,permanent wave"
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton","pop rap,seattle hip hop,pop rap,seattle hip hop,pop rap,pop dance"
Walking On A Dream,Empire of the Sun,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop"
Walk Me Home,P!nk,"dance pop,pop"
Just A Lil Bit,50 Cent,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap"
Lemonade,"Internet Money, Gunna, Don Toliver, NAV","pop rap,atl hip hop,melodic rap,rap,trap,rap,trap,canadian hip hop,canadian trap,melodic rap,rap,toronto rap,trap"
Shiny Shiny,Haysi Fantayzee,
Do You Know the Way to San Jose,Dionne Warwick,"adult standards,brill building pop,disco,quiet storm,soft rock"
Cars,Gary Numan,"new romantic,new wave,permanent wave,synthpop"
I Saw Her Again - Single Version,The Mamas & The Papas,"classic rock,folk,folk rock,mellow gold,psychedelic rock,rock,soft rock,sunshine pop"
If I Said You Had A Beautiful Body Would You Hold It Against Me,The Bellamy Brothers,"classic country pop,country,country rock"
Shivers,Ed Sheeran,"pop,singer-songwriter pop,uk pop"
What's My Age Again?,blink-182,"alternative metal,modern rock,pop punk,punk,rock,socal pop punk"
"Still Falling For You - From ""Bridget Jones's Baby""",Ellie Goulding,"indietronica,metropopolis,pop,uk pop"
Visiting Hours,Ed Sheeran,"pop,singer-songwriter pop,uk pop"
Marea (we’ve lost dancing),"Fred again.., The Blessed Madonna","edm,house,stutter house,edm"
Left Outside Alone,Anastacia,
Times Like These,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Both of Us (feat. Taylor Swift),"B.o.B, Taylor Swift","atl hip hop,dance pop,pop rap,rap,southern hip hop,pop"
Errol - Remastered,Australian Crawl,australian rock
Heartbreak Hotel (feat. Faith Evans & Kelly Price),"Whitney Houston, Faith Evans, Kelly Price","dance pop,contemporary r&b,hip pop,r&b,urban contemporary,contemporary r&b,hip pop,r&b,urban contemporary"
Brooklyn In The Summer,Aloe Blacc,"pop soul,r&b"
Always Where I Need To Be,The Kooks,"brighton indie,garage rock,modern rock,rock"
Pump Up The Jam - Edit,"Technotronic, Felly","eurodance,hip house,new beat,synthpop"
Way Down,Elvis Presley,"rock-and-roll,rockabilly"
Summertime Blues,Eddie Cochran,"rock-and-roll,rockabilly"
U Remind Me,Usher,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary"
Undercover Angel,Alan O'Day,
Sorry,Justin Bieber,"canadian pop,pop"
Freeway Of Love,Aretha Franklin,"classic soul,jazz blues,memphis soul,neo soul,soul,southern soul,vocal jazz"
I Like it Like That - 2019 - Remaster,The Dave Clark Five,"british invasion,merseybeat"
Linger (feat. Lupe Fiasco),"Guy Sebastian, Lupe Fiasco","australian pop,australian talent show,chicago rap,conscious hip hop,hip hop,political hip hop,pop rap,rap,southern hip hop"
Why Do You Lie To Me,"Topic, A7S, Lil Baby","german dance,pop dance,pop edm,uk dance,pop dance,scandipop,uk dance,atl hip hop,atl trap,rap,trap"
FourFiveSeconds,"Rihanna, Kanye West, Paul McCartney","barbadian pop,pop,urban contemporary,chicago rap,hip hop,rap,beatlesque,classic rock,mellow gold,rock"
Lush Life,Zara Larsson,"pop,scandipop,swedish electropop,swedish pop"
"Men In Black - From ""Men In Black"" Soundtrack",Will Smith,"hip hop,pop rap"
Midnight In Moscow,Kenny Ball,"dixieland,new orleans jazz"
Are You Gonna Be My Girl,Jet,"garage rock,modern rock,pop rock"
Style,WickedStranger,
Anything,3T,"boy band,contemporary r&b"
In the Midnight Hour,Ray Brown And The Whispers,
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,"dance pop,pop"
Too Young For Promises,Koo De Tah,
What's My Name?,"Rihanna, Drake","barbadian pop,pop,urban contemporary,canadian hip hop,canadian pop,hip hop,rap,toronto rap"
I Shot The Sheriff,Warren G,"g funk,gangster rap,hardcore hip hop,hip hop,west coast rap"
Bust A Move,Young MC,"hip house,miami bass"
Don't Say Goodbye,Human Nature,"australian pop,australian rock,boy band"
Moderation,Florence + The Machine,"baroque pop,modern rock,uk alternative pop"
Stay,"Rihanna, Mikky Ekko","barbadian pop,pop,urban contemporary,nashville indie"
A Rockin' Good Way (To Mess Around And Fall In Love),"Dinah Washington, Brook Benton","jazz blues,soul,vocal jazz,rhythm and blues,southern soul"
Rich Girl,Daryl Hall & John Oates,"album rock,classic rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock"
Don't You Wanna Feel,Rogue Traders,"australian dance,australian pop,australian rock,dance rock"
It's Your Life,Smokie,
You Were On My Mind,We Five,"bubblegum pop,classic garage rock"
22,Lily Allen,"dance pop,electropop"
Please Don't Let Me Go,Olly Murs,"dance pop,pop,talent show"
Destination Calabria - Radio Edit,"Alex Gaudino, Crystal Waters","disco house,vocal house,diva house"
Stop Callin' Me,Shakaya,"australian indigenous,australian pop"
Blah Blah Blah (feat. 3OH!3),"Kesha, 3OH!3","dance pop,pop,electropowerpop,pop punk,pop rap,post-teen pop"
Hand in My Pocket - 2015 Remaster,Alanis Morissette,"canadian pop,canadian singer-songwriter,lilith,neo mellow,pop rock,singer-songwriter"
It Takes Two,"Marvin Gaye, Kim Weston","classic soul,motown,neo soul,northern soul,quiet storm,soul,motown,northern soul,southern soul"
Feel Good Time,"P!nk, William Orbit","dance pop,pop,big beat,classic progressive house,downtempo,intelligent dance music"
Polygraph Eyes,YUNGBLUD,"british indie rock,modern rock,pov: indie,rock"
That Girl Belongs To Yesterday,Gene Pitney,"adult standards,brill building pop,merseybeat,rock-and-roll,rockabilly"
Sir Duke,Stevie Wonder,"motown,soul"
Lose You To Love Me,Selena Gomez,"pop,post-teen pop"
Forever,Tina Cousins,"bubblegum dance,eurodance"
Wake up Little Susie,The Everly Brothers,"adult standards,folk rock,mellow gold,rock-and-roll,rockabilly,sunshine pop"
One Day In Your Life - U.S. Album Version,Anastacia,
Mercy,Shawn Mendes,"canadian pop,pop,viral pop"
ABC,The Jackson 5,"motown,soul"
Sure Be Cool If You Did,Blake Shelton,"classic oklahoma country,contemporary country,country,country road"
Hymn for the Weekend,Coldplay,"permanent wave,pop"
Make Me... (feat. G-Eazy) (feat. G-Eazy),"Britney Spears, G-Eazy","dance pop,pop,indie pop rap,oakland hip hop,pop rap,rap"
Israel's Son,Silverchair,"alternative metal,alternative rock,australian alternative rock,australian psych,australian rock,grunge,nu metal,post-grunge"
Silvery Moon,Sherbet,australian rock
Itchycoo Park (2012 Mono Remaster),Small Faces,"british blues,british invasion,protopunk"
She's All I Ever Had,Ricky Martin,"latin pop,mexican pop,puerto rican pop"
Promises (with Sam Smith),"Calvin Harris, Sam Smith, Jessie Reyez","dance pop,edm,electro house,house,pop,progressive house,uk dance,pop,uk pop,canadian contemporary r&b,canadian pop"
Think Twice,Céline Dion,canadian pop
Rich,Big Yavo,alabama rap
It's Just Not Cricket,The 12th Man,australian comedy
Happy Ending,MIKA,pop rock
Home Among the Gumtrees,John Williamson,"australian children's music,australian country,australian rock,bush ballad"
You Learn - 2015 Remaster,Alanis Morissette,"canadian pop,canadian singer-songwriter,lilith,neo mellow,pop rock,singer-songwriter"
"Hey, Western Union Man","Max Merritt, The Meteors","classic nz pop,pub rock,psychobilly,pub rock"
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,"dance pop,pop"
Edge of Reality,Elvis Presley,"rock-and-roll,rockabilly"
We've Got Tonight,"Kenny Rogers, Sheena Easton","classic country pop,country,nashville sound,mellow gold,minneapolis sound,new romantic,new wave pop,soft rock"
I'm Real,Jennifer Lopez,"dance pop,pop,urban contemporary"
Don't You Wanna Feel,Rogue Traders,"australian dance,australian pop,australian rock,dance rock"
Love In Motion,"ICEHOUSE, Christina Amphlett","australian rock,new romantic,sophisti-pop,synthpop"
Around the Bend,The Asteroids Galaxy Tour,
Smokin',Boston,"album rock,classic rock,glam metal,hard rock,mellow gold,rock,soft rock"
You Can Call Me Al,Paul Simon,"classic rock,folk,folk rock,mellow gold,permanent wave,rock,singer-songwriter,soft rock"
